dataset,experiment,trainer,features,graph_layers,pooling,reverse_edges,n_seeds,seeds,best_epoch_mean,best_epoch_std,best_val_macro_f1_mean,best_val_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_macro_f1_mean,test_macro_f1_std,test_auc_mean,test_auc_std
gossipcop,bert_only_graph,graph,bert,2,mean_max,True,3,42 43 44,6.0,7.0,0.9748273135716776,0.0021266792802737407,0.9344911639244363,0.006086223143034191,0.9156543663213792,0.012902485099922558,0.9546865301055245,0.01182654182697553,0.9346789142827987,0.005898095330389812,0.9344847394617305,0.006082666348054786,0.9749366730300103,0.008025352746333562
gossipcop,bert_profile_graph,graph,bert profile,2,mean_max,True,3,42 43 44,10.333333333333334,4.725815626252609,0.9797333602438323,0.0036615902222480513,0.9460694698354661,0.01383249172799045,0.9350063952719093,0.033363614163714805,0.957790192427064,0.009556054822061219,0.9459433301439303,0.012830109910457677,0.9460530257063232,0.013820374080900937,0.982106857366378,0.00576748109893041
gossipcop,bert_profile_graph_mean_pool,graph,bert profile,2,mean,True,3,42 43 44,27.666666666666668,6.8068592855540455,0.9791078425853852,0.002118491001514444,0.9606946983546618,0.003984368321335128,0.9731993421853857,0.003592525663403522,0.9459962756052142,0.009310986964618295,0.9593822417781541,0.004310180024228377,0.9606528256506466,0.003999968696329711,0.985626198699025,0.0013376909421656104
gossipcop,bert_profile_graph_root_pool,graph,bert profile,2,root,True,3,42 43 44,16.333333333333332,7.023769168568492,0.9778963664909592,0.0031773653279057812,0.947592931139549,0.0073883946697026835,0.9461992355825681,0.013858567525930517,0.9472377405338299,0.002844553504007383,0.946682990194388,0.007129075483161455,0.9475756995513175,0.007379083374975011,0.9782236575963946,0.0034181944047504756
gossipcop,bert_profile_no_graph,graph,bert profile,0,mean_max,True,3,42 43 44,8.0,4.358898943540674,0.9785029027576393,0.0010707140027186137,0.9387568555758684,0.009630396483411987,0.918432229527056,0.017827928242299677,0.9608938547486033,0.011327304525694979,0.9390772374119304,0.00910049402934507,0.9387470425423382,0.009642779714100089,0.977678148545625,0.001385681950785429
gossipcop,bert_profile_no_graph_mean_pool,graph,bert profile,0,mean,True,3,42 43 44,16.666666666666668,2.0816659994661326,0.9778781640420943,0.0018440620080013548,0.9625228519195613,0.004749682287666031,0.9705511671524188,0.01211018400157982,0.9528243327126009,0.02051236702899855,0.9614272549197631,0.005379793342536189,0.9624866998292967,0.00477714667632068,0.9864843028238313,0.002489833870036171
gossipcop,bert_profile_no_graph_root_pool,graph,bert profile,0,root,True,3,42 43 44,24.333333333333332,10.692676621563626,0.8950178421761281,0.010566557726559676,0.8540524070688604,0.010395321212207202,0.8399022170089585,0.011387056661012331,0.8684047175667288,0.02479824252692515,0.8537408214455713,0.011913646715681396,0.8540199618225489,0.010426902154461983,0.9334958159065758,0.006671697716624716
gossipcop,graph_size_control,size_control,graph_size,0,size_only,,3,42 43 44,0.0,0.0,0.8021652043466629,0.0,0.7458866544789763,0.0,0.7448015122873346,0.0,0.7337057728119181,0.0,0.7392120075046904,0.0,0.7457200857487801,0.0,0.7948507065985979,0.0
gossipcop,profile_only_graph,graph,profile,2,mean_max,True,3,42 43 44,30.0,3.0,0.9723506032666476,0.0018434795246523475,0.9576477757464961,0.0077741321280762376,0.9635843120905856,0.005553545067204815,0.9497206703910615,0.022346368715083775,0.9564655896396518,0.008611853898126078,0.9576112655440217,0.007811181386127066,0.9796673899258574,0.0022744026393718086
politifact,bert_only_graph,graph,bert,2,mean_max,True,3,42 43 44,9.333333333333334,8.736894948054104,0.6888778829456795,0.18107797346628982,0.890625,0.027063293868263706,0.9407894736842105,0.06275915798795695,0.9404761904761905,0.07434521426664763,0.937387489599879,0.016710648407179705,0.6909159670221617,0.19437731655384863,0.8497023809523809,0.202527247106601
politifact,bert_profile_graph,graph,bert profile,2,mean_max,True,3,42 43 44,11.333333333333334,4.725815626252609,0.7406396738973872,0.07122376460335232,0.8541666666666666,0.03252603124165832,0.9077874005986221,0.033493855769787105,0.9285714285714286,0.0,0.9178551549260932,0.016994658943937205,0.6302268664093943,0.11983633934261192,0.7819940476190476,0.0806150787546538
politifact,bert_profile_graph_mean_pool,graph,bert profile,2,mean,True,3,42 43 44,6.666666666666667,3.7859388972001824,0.7327586206896552,0.0,0.8333333333333334,0.018042195912175804,0.8863984674329501,0.009020120587734545,0.9285714285714286,0.01785714285714285,0.906936882435975,0.010592571820581006,0.5526747904243368,0.04152332901521887,0.5282738095238095,0.23459102855879227
politifact,bert_profile_graph_root_pool,graph,bert profile,2,root,True,3,42 43 44,8.0,5.291502622129181,0.7855817705182497,0.09149237931894881,0.8802083333333334,0.009021097956087902,0.9748148148148148,0.02813839987144087,0.8869047619047619,0.020619652471058052,0.9283781208309511,0.004505392977595339,0.7787842880541814,0.036567632936607204,0.9538690476190476,0.038811908796860035
politifact,bert_profile_no_graph,graph,bert profile,0,mean_max,True,3,42 43 44,13.0,5.196152422706632,0.6284787824261509,0.053478138239701836,0.7447916666666666,0.06314768569261532,0.8834033613445378,0.008974793850123484,0.8154761904761905,0.07216878364870324,0.8472236486255178,0.042909084041976533,0.5248023005032351,0.042840094955427246,0.5967261904761905,0.18707878566280045
politifact,bert_profile_no_graph_mean_pool,graph,bert profile,0,mean,True,3,42 43 44,12.0,3.0,0.7327586206896552,0.0,0.7864583333333334,0.018042195912175804,0.8716549977923751,0.01684336370786644,0.8869047619047619,0.020619652471058052,0.8790320139300516,0.01039919500713783,0.4787316932395356,0.06976508917251642,0.37723214285714285,0.07153312660250921
politifact,bert_profile_no_graph_root_pool,graph,bert profile,0,root,True,3,42 43 44,7.0,1.7320508075688772,0.7327586206896552,0.0,0.9114583333333334,0.009021097956087902,0.9758535489667565,0.027172994338928634,0.9226190476190477,0.02727723627949901,0.9479844127368794,0.005532683409494925,0.8221780117910873,0.031983779549406205,0.9754464285714285,0.009729685141831876
politifact,graph_size_control,size_control,graph_size,0,size_only,,3,42 43 44,0.0,0.0,0.3541666666666667,0.0,0.578125,0.0,0.9142857142857143,0.0,0.5714285714285714,0.0,0.7032967032967034,0.0,0.4867834867834868,0.0,0.6796875,0.0
politifact,profile_only_graph,graph,profile,2,mean_max,True,3,42 43 44,6.333333333333333,2.516611478423583,0.6679484762061895,0.06786005633776725,0.8125,0.0,0.8977072310405644,0.0084005991548755,0.886904761904762,0.01030982623552906,0.8922077922077922,0.0011247083166032155,0.584992784992785,0.02349390705793281,0.5029761904761905,0.05140394478992821
