dataset,experiment,trainer,features,graph_layers,pooling,reverse_edges,n_seeds,seeds,best_epoch_mean,best_epoch_std,best_val_macro_f1_mean,best_val_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_macro_f1_mean,test_macro_f1_std,test_auc_mean,test_auc_std
gossipcop,bert_only_graph_mean_pool,graph,bert,2,mean,True,3,42 43 44,10.666666666666666,3.2145502536643185,0.9784945889694314,0.0010680258579413432,0.9570383912248629,0.0015832274292219674,0.9642551830924486,0.012808986707585604,0.9478584729981379,0.014544226584556152,0.9558573337107481,0.0019350949605222636,0.9570024647835301,0.001598927334192307,0.9879988008830671,0.0013823263160660682
gossipcop,bert_only_graph_root_pool,graph,bert,2,root,True,3,42 43 44,13.333333333333334,8.504900548115382,0.9791242916684855,0.0027995644875068158,0.9561243144424132,0.0031664548584440628,0.9588717526054721,0.011434735790980838,0.9515828677839852,0.008117130248679072,0.9551512340485038,0.0029798941907865717,0.9561010148555963,0.0031568300296865442,0.9885331657244237,0.0009374891883610643
gossipcop,bert_only_no_graph_mean_pool,graph,bert,0,mean,True,3,42 43 44,17.0,3.0,0.9772661718733436,0.0010602668758292477,0.9530773918342474,0.004509033694987439,0.9440529779687025,0.011252387696197422,0.9615145872129113,0.0038764729971436413,0.952665199384261,0.004182194819926001,0.9530719074339368,0.004503974540700296,0.9842041975779175,0.004656331423435942
gossipcop,bert_only_no_graph_root_pool,graph,bert,0,root,True,3,42 43 44,3.6666666666666665,1.5275252316519468,0.793983838766806,0.00527003648575154,0.758988421694089,0.009201504491493895,0.8202689478289819,0.019129387181756788,0.6523898199875854,0.019112109644122514,0.7265232897466108,0.01124165056294709,0.7555039603683104,0.009297556335309948,0.8406612082328961,0.00829673989128623
gossipcop,profile_only_graph_mean_pool,graph,profile,2,mean,True,3,42 43 44,30.666666666666668,10.785793124908958,0.9717545664379659,0.002135661059937041,0.941194393662401,0.0026387123820366763,0.9455232600574395,0.010241859609744483,0.9342023587833643,0.01446453159246562,0.9397236773115016,0.003215043476108465,0.9411534982222435,0.002662688583407696,0.975171815848626,0.002572986306149278
gossipcop,profile_only_graph_root_pool,graph,profile,2,root,True,3,42 43 44,40.666666666666664,3.7859388972001824,0.9625321217997319,0.005331184140559267,0.9430225472273004,0.002110969905629354,0.938717097243611,0.014869842990951064,0.9459962756052142,0.013035381750465591,0.9422052325933471,0.0014065171010045933,0.9430031057661755,0.002094234725178874,0.9727947559808185,0.002837215697056622
gossipcop,profile_only_no_graph_mean_pool,graph,profile,0,mean,True,3,42 43 44,42.0,11.269427669584644,0.9495822232407362,0.0028253681936757195,0.9204753199268738,0.01266581943377606,0.924091662897633,0.025164418174084234,0.9137181874612043,0.023283673908766005,0.918573596278673,0.012715676440823578,0.9204108239252733,0.012640259048788696,0.9683549029506523,0.006387090201611699
gossipcop,profile_only_no_graph_root_pool,graph,profile,0,root,True,3,42 43 44,35.333333333333336,9.71253485622231,0.8704611377251407,0.002632249847366154,0.8375990249847654,0.00985904307578519,0.8120534101102533,0.01351510870601549,0.8708876474239603,0.007050165544134391,0.840403778891895,0.008701193982852256,0.8375401926533811,0.009903388503676317,0.9116676529291997,0.005210300007830857
gossipcop,size_only,size_control,graph_size,0,size_only,,3,42 43 44,0.0,0.0,0.8021652043466629,0.0,0.7458866544789763,0.0,0.7448015122873346,0.0,0.7337057728119181,0.0,0.7392120075046904,0.0,0.7457200857487801,0.0,0.7948507065985979,0.0
politifact,bert_only_graph_mean_pool,graph,bert,2,mean,True,3,42 43 44,12.333333333333334,3.511884584284246,0.7437671960927059,0.07618613672697959,0.859375,0.015625,0.885225336388742,0.0018818047120339938,0.9642857142857143,0.01785714285714285,0.9230244721185692,0.00920525526513134,0.552926377473426,0.012942549647707382,0.8921130952380952,0.023867581744561668
