dataset,experiment,seed,features,graph_layers,pooling,perturbation,explanation,clean_macro_f1,perturbed_macro_f1,delta_macro_f1,clean_auc,perturbed_auc,delta_auc
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,edge_drop_0.25,edge_drop_0.25,0.9624799346196926,0.9643259378174658,-0.0018460031977731717,0.9870816324483717,0.9877837176413948,-0.000702085193023172
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,edge_drop_0.5,edge_drop_0.5,0.9624799346196926,0.9634162653825575,-0.0009363307628649231,0.9870816324483717,0.9874895105128899,-0.00040787806451825226
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,zero_bert,occlude_bert,0.9624799346196926,0.32924586143470264,0.6332340731849899,0.9870816324483717,0.7151807535045753,0.27190087894379633
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,noise_bert,noise_bert,0.9624799346196926,0.9624799346196926,0.0,0.9870816324483717,0.9867707090057471,0.0003109234426245111
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,zero_profile,occlude_profile,0.9624799346196926,0.32924586143470264,0.6332340731849899,0.9870816324483717,0.49417436452931873,0.4929072679190529
gossipcop,bert_profile_graph_mean_pool,42,bert profile,2,mean,noise_profile,noise_profile,0.9624799346196926,0.9615623996145197,0.000917535005172887,0.9870816324483717,0.9872554821152155,-0.0001738496668438616
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,edge_drop_0.25,edge_drop_0.25,0.9560655803540055,0.9652483573805026,-0.009182777026497169,0.9844504846059463,0.9836949072077403,0.0007555773982059755
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,edge_drop_0.5,edge_drop_0.5,0.9560655803540055,0.9588588104237719,-0.0027932300697663948,0.9844504846059463,0.9819564105393017,0.0024940740666445915
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,zero_bert,occlude_bert,0.9560655803540055,0.37193908028355893,0.5841265000704465,0.9844504846059463,0.7207004804268677,0.26375000417907857
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,noise_bert,noise_bert,0.9560655803540055,0.9542349795354222,0.0018306008185832168,0.9844504846059463,0.9844003356635874,5.014894235888523e-05
gossipcop,bert_profile_graph_mean_pool,43,bert profile,2,mean,zero_profile,occlude_profile,0.9560655803540055,0.32924586143470264,0.6268197189193028,0.9844504846059463,0.7139036271058378,0.27054685750010854
